year,gennme,state,quarter,totalRXImputed
2016,Dextroamphetamine Sulfate,SC,1,406
2016,Lisdexamfetamine Dimesylate,SC,1,21646
2016,Amphetamine Salt Combination,SC,2,15816
2016,Dextroamphetamine Sulfate,SC,2,508
2016,Lisdexamfetamine Dimesylate,SC,2,20538
2016,Amphetamine,SC,3,0
2016,Amphetamine Salt Combination,SC,3,16755
2016,Dextroamphetamine Sulfate,SC,3,470
2016,Lisdexamfetamine Dimesylate,SC,3,19339
2016,Amphetamine,SC,4,0
2016,Amphetamine Salt Combination,SC,4,18725
2016,Dextroamphetamine Sulfate,SC,4,463
2016,Lisdexamfetamine Dimesylate,SC,4,21695
2016,Amphetamine Salt Combination,TN,1,29798
2016,Dextroamphetamine Sulfate,TN,1,824
2016,Lisdexamfetamine Dimesylate,TN,1,33243
2016,Amphetamine Salt Combination,TN,2,29085
2016,Dextroamphetamine Sulfate,TN,2,734
2016,Lisdexamfetamine Dimesylate,TN,2,32965
2016,Amphetamine,TN,3,0
2016,Amphetamine Salt Combination,TN,3,29738
2016,Dextroamphetamine Sulfate,TN,3,793
2016,Lisdexamfetamine Dimesylate,TN,3,33745
2016,Amphetamine,TN,4,124
2016,Amphetamine Salt Combination,TN,4,29200
2016,Dextroamphetamine Sulfate,TN,4,754
2016,Lisdexamfetamine Dimesylate,TN,4,34141
2017,Amphetamine,CO,1,0
2017,Amphetamine Salt Combination,CO,1,18687
2017,Dextroamphetamine Sulfate,CO,1,233
2017,Lisdexamfetamine Dimesylate,CO,1,9364
2017,Methamphetamine Hydrochloride,CO,1,0
2017,Amphetamine,CO,2,0
2017,Amphetamine Salt Combination,CO,2,21055
2017,Dextroamphetamine Sulfate,CO,2,287
2017,Lisdexamfetamine Dimesylate,CO,2,9489
2017,Methamphetamine Hydrochloride,CO,2,19
2017,Amphetamine,CO,3,0
2017,Amphetamine Salt Combination,CO,3,21322
2017,Dextroamphetamine Sulfate,CO,3,269
2017,Lisdexamfetamine Dimesylate,CO,3,9129
2017,Methamphetamine Hydrochloride,CO,3,17
2017,Amphetamine,CO,4,0
2017,Amphetamine Salt Combination,CO,4,19713
2017,Dextroamphetamine Sulfate,CO,4,232
2017,Lisdexamfetamine Dimesylate,CO,4,9490
2017,Methamphetamine Hydrochloride,CO,4,22
2017,Amphetamine,FL,1,0
2017,Amphetamine Salt Combination,FL,1,58471
2017,Dextroamphetamine Sulfate,FL,1,655
2017,Lisdexamfetamine Dimesylate,FL,1,61452
2017,Amphetamine,FL,2,55
2017,Amphetamine Salt Combination,FL,2,67767
2017,Dextroamphetamine Sulfate,FL,2,784
2017,Lisdexamfetamine Dimesylate,FL,2,71150
2017,Methamphetamine Hydrochloride,FL,2,0
2017,Amphetamine,FL,3,20
2017,Amphetamine Salt Combination,FL,3,55463
2017,Dextroamphetamine Sulfate,FL,3,576
2017,Lisdexamfetamine Dimesylate,FL,3,55420
2017,Methamphetamine Hydrochloride,FL,3,0
2017,Amphetamine,FL,4,55
2017,Amphetamine Salt Combination,FL,4,62494
2017,Dextroamphetamine Sulfate,FL,4,616
2017,Lisdexamfetamine Dimesylate,FL,4,60803
2017,Methamphetamine Hydrochloride,FL,4,0
2017,Amphetamine,MS,1,659
2017,Amphetamine Salt Combination,MS,1,10544
2017,Dextroamphetamine Sulfate,MS,1,1111
2017,Lisdexamfetamine Dimesylate,MS,1,26901
2017,Amphetamine,MS,2,1063
2017,Amphetamine Salt Combination,MS,2,10759
2017,Dextroamphetamine Sulfate,MS,2,898
2017,Lisdexamfetamine Dimesylate,MS,2,23049
2017,Amphetamine,MS,3,1345
2017,Amphetamine Salt Combination,MS,3,11195
2017,Dextroamphetamine Sulfate,MS,3,892
2017,Lisdexamfetamine Dimesylate,MS,3,22497
2017,Amphetamine,MS,4,1791
2017,Amphetamine Salt Combination,MS,4,12515
2017,Dextroamphetamine Sulfate,MS,4,1153
2017,Lisdexamfetamine Dimesylate,MS,4,23935
2017,Amphetamine,SC,1,0
2017,Amphetamine Salt Combination,SC,1,23247
2017,Dextroamphetamine Sulfate,SC,1,469
2017,Lisdexamfetamine Dimesylate,SC,1,23181
2017,Amphetamine,SC,2,29
2017,Amphetamine Salt Combination,SC,2,25127
2017,Dextroamphetamine Sulfate,SC,2,450
2017,Lisdexamfetamine Dimesylate,SC,2,20980
2017,Amphetamine,SC,3,28
2017,Amphetamine Salt Combination,SC,3,28676
2017,Dextroamphetamine Sulfate,SC,3,396
2017,Lisdexamfetamine Dimesylate,SC,3,20431
2017,Amphetamine,SC,4,35
2017,Amphetamine Salt Combination,SC,4,33495
2017,Dextroamphetamine Sulfate,SC,4,450
2017,Lisdexamfetamine Dimesylate,SC,4,22631
2017,Methamphetamine Hydrochloride,SC,4,0
2017,Amphetamine,TN,1,145
2017,Amphetamine Salt Combination,TN,1,28014
2017,Dextroamphetamine Sulfate,TN,1,743
2017,Lisdexamfetamine Dimesylate,TN,1,32907
2017,Methamphetamine Hydrochloride,TN,1,0
2017,Amphetamine,TN,2,177
2017,Amphetamine Salt Combination,TN,2,26945
