year,gennme,state,quarter,suppression,totalRX
2016,Dextroamphetamine Sulfate,CO,1,F,331
2016,Dextroamphetamine Sulfate,CO,1,T,0
2016,Lisdexamfetamine Dimesylate,CO,1,F,8693
2016,Lisdexamfetamine Dimesylate,CO,1,T,0
2016,Methamphetamine Hydrochloride,CO,1,T,0
2016,Amphetamine,CO,2,T,0
2016,Amphetamine Salt Combination,CO,2,F,17256
2016,Amphetamine Salt Combination,CO,2,T,0
2016,Dextroamphetamine Sulfate,CO,2,F,313
2016,Dextroamphetamine Sulfate,CO,2,T,0
2016,Lisdexamfetamine Dimesylate,CO,2,F,8767
2016,Lisdexamfetamine Dimesylate,CO,2,T,0
2016,Methamphetamine Hydrochloride,CO,2,T,0
2016,Amphetamine,CO,3,T,0
2016,Amphetamine Salt Combination,CO,3,F,17348
2016,Amphetamine Salt Combination,CO,3,T,0
2016,Dextroamphetamine Sulfate,CO,3,F,308
2016,Dextroamphetamine Sulfate,CO,3,T,0
2016,Lisdexamfetamine Dimesylate,CO,3,F,8411
2016,Lisdexamfetamine Dimesylate,CO,3,T,0
2016,Methamphetamine Hydrochloride,CO,3,T,0
2016,Amphetamine,CO,4,T,0
2016,Amphetamine Salt Combination,CO,4,F,19069
2016,Amphetamine Salt Combination,CO,4,T,0
2016,Dextroamphetamine Sulfate,CO,4,F,230
2016,Dextroamphetamine Sulfate,CO,4,T,0
2016,Lisdexamfetamine Dimesylate,CO,4,F,9467
2016,Lisdexamfetamine Dimesylate,CO,4,T,0
2016,Methamphetamine Hydrochloride,CO,4,T,0
2016,Amphetamine Salt Combination,FL,1,F,54330
2016,Amphetamine Salt Combination,FL,1,T,0
2016,Dextroamphetamine Sulfate,FL,1,F,747
2016,Dextroamphetamine Sulfate,FL,1,T,0
2016,Lisdexamfetamine Dimesylate,FL,1,F,62404
2016,Methamphetamine Hydrochloride,FL,1,T,0
2016,Amphetamine,FL,2,T,0
2016,Amphetamine Salt Combination,FL,2,F,62254
2016,Amphetamine Salt Combination,FL,2,T,0
2016,Dextroamphetamine Sulfate,FL,2,F,781
2016,Dextroamphetamine Sulfate,FL,2,T,0
2016,Lisdexamfetamine Dimesylate,FL,2,F,66069
2016,Amphetamine,FL,3,T,0
2016,Amphetamine Salt Combination,FL,3,F,54833
2016,Amphetamine Salt Combination,FL,3,T,0
2016,Dextroamphetamine Sulfate,FL,3,F,622
2016,Dextroamphetamine Sulfate,FL,3,T,0
2016,Lisdexamfetamine Dimesylate,FL,3,F,56095
2016,Amphetamine,FL,4,T,0
2016,Amphetamine Salt Combination,FL,4,F,64903
2016,Amphetamine Salt Combination,FL,4,T,0
2016,Dextroamphetamine Sulfate,FL,4,F,705
2016,Dextroamphetamine Sulfate,FL,4,T,0
2016,Lisdexamfetamine Dimesylate,FL,4,F,68201
2016,Amphetamine Salt Combination,MS,1,F,13634
2016,Amphetamine Salt Combination,MS,1,T,0
2016,Dextroamphetamine Sulfate,MS,1,F,847
2016,Dextroamphetamine Sulfate,MS,1,T,0
2016,Lisdexamfetamine Dimesylate,MS,1,F,24261
2016,Methamphetamine Hydrochloride,MS,1,T,0
2016,Amphetamine Salt Combination,MS,2,F,12942
2016,Amphetamine Salt Combination,MS,2,T,0
2016,Dextroamphetamine Sulfate,MS,2,F,766
2016,Dextroamphetamine Sulfate,MS,2,T,0
2016,Lisdexamfetamine Dimesylate,MS,2,F,23112
2016,Methamphetamine Hydrochloride,MS,2,T,0
2016,Amphetamine,MS,3,T,0
2016,Amphetamine Salt Combination,MS,3,F,13128
2016,Amphetamine Salt Combination,MS,3,T,0
2016,Dextroamphetamine Sulfate,MS,3,F,753
2016,Dextroamphetamine Sulfate,MS,3,T,0
2016,Lisdexamfetamine Dimesylate,MS,3,F,22874
2016,Methamphetamine Hydrochloride,MS,3,T,0
2016,Amphetamine,MS,4,T,0
2016,Amphetamine Salt Combination,MS,4,F,15650
2016,Amphetamine Salt Combination,MS,4,T,0
2016,Dextroamphetamine Sulfate,MS,4,F,1061
2016,Dextroamphetamine Sulfate,MS,4,T,0
2016,Lisdexamfetamine Dimesylate,MS,4,F,27787
2016,Methamphetamine Hydrochloride,MS,4,T,0
2016,Amphetamine Salt Combination,SC,1,F,18374
2016,Amphetamine Salt Combination,SC,1,T,0
2016,Dextroamphetamine Sulfate,SC,1,F,406
2016,Dextroamphetamine Sulfate,SC,1,T,0
2016,Lisdexamfetamine Dimesylate,SC,1,F,21646
2016,Amphetamine Salt Combination,SC,2,F,15816
2016,Amphetamine Salt Combination,SC,2,T,0
2016,Dextroamphetamine Sulfate,SC,2,F,508
2016,Dextroamphetamine Sulfate,SC,2,T,0
2016,Lisdexamfetamine Dimesylate,SC,2,F,20538
2016,Amphetamine,SC,3,T,0
2016,Amphetamine Salt Combination,SC,3,F,16755
2016,Amphetamine Salt Combination,SC,3,T,0
2016,Dextroamphetamine Sulfate,SC,3,F,470
2016,Dextroamphetamine Sulfate,SC,3,T,0
2016,Lisdexamfetamine Dimesylate,SC,3,F,19339
2016,Amphetamine,SC,4,T,0
2016,Amphetamine Salt Combination,SC,4,F,18725
2016,Amphetamine Salt Combination,SC,4,T,0
2016,Dextroamphetamine Sulfate,SC,4,F,463
2016,Dextroamphetamine Sulfate,SC,4,T,0
2016,Lisdexamfetamine Dimesylate,SC,4,F,21695
2016,Amphetamine Salt Combination,TN,1,F,29798
2016,Amphetamine Salt Combination,TN,1,T,0
2016,Dextroamphetamine Sulfate,TN,1,F,824
2016,Dextroamphetamine Sulfate,TN,1,T,0
2016,Lisdexamfetamine Dimesylate,TN,1,F,33243
2016,Amphetamine Salt Combination,TN,2,F,29085
2016,Amphetamine Salt Combination,TN,2,T,0
2016,Dextroamphetamine Sulfate,TN,2,F,734
2016,Dextroamphetamine Sulfate,TN,2,T,0
2016,Lisdexamfetamine Dimesylate,TN,2,F,32965
2016,Amphetamine,TN,3,T,0
2016,Amphetamine Salt Combination,TN,3,F,29738
2016,Amphetamine Salt Combination,TN,3,T,0
2016,Dextroamphetamine Sulfate,TN,3,F,793
2016,Dextroamphetamine Sulfate,TN,3,T,0
2016,Lisdexamfetamine Dimesylate,TN,3,F,33745
2016,Amphetamine,TN,4,F,124
2016,Amphetamine,TN,4,T,0
2016,Amphetamine Salt Combination,TN,4,F,29200
2016,Amphetamine Salt Combination,TN,4,T,0
2016,Dextroamphetamine Sulfate,TN,4,F,754
2016,Dextroamphetamine Sulfate,TN,4,T,0
2016,Lisdexamfetamine Dimesylate,TN,4,F,34141
2017,Amphetamine,CO,1,T,0
2017,Amphetamine Salt Combination,CO,1,F,18687
2017,Amphetamine Salt Combination,CO,1,T,0
2017,Dextroamphetamine Sulfate,CO,1,F,233
2017,Dextroamphetamine Sulfate,CO,1,T,0
2017,Lisdexamfetamine Dimesylate,CO,1,F,9364
2017,Lisdexamfetamine Dimesylate,CO,1,T,0
2017,Methamphetamine Hydrochloride,CO,1,T,0
2017,Amphetamine,CO,2,T,0
2017,Amphetamine Salt Combination,CO,2,F,21055
2017,Amphetamine Salt Combination,CO,2,T,0
2017,Dextroamphetamine Sulfate,CO,2,F,287
2017,Dextroamphetamine Sulfate,CO,2,T,0
2017,Lisdexamfetamine Dimesylate,CO,2,F,9489
2017,Lisdexamfetamine Dimesylate,CO,2,T,0
2017,Methamphetamine Hydrochloride,CO,2,F,19
2017,Methamphetamine Hydrochloride,CO,2,T,0
2017,Amphetamine,CO,3,T,0
2017,Amphetamine Salt Combination,CO,3,F,21322
2017,Amphetamine Salt Combination,CO,3,T,0
2017,Dextroamphetamine Sulfate,CO,3,F,269
2017,Dextroamphetamine Sulfate,CO,3,T,0
2017,Lisdexamfetamine Dimesylate,CO,3,F,9129
2017,Lisdexamfetamine Dimesylate,CO,3,T,0
2017,Methamphetamine Hydrochloride,CO,3,F,17
2017,Methamphetamine Hydrochloride,CO,3,T,0
2017,Amphetamine,CO,4,T,0
2017,Amphetamine Salt Combination,CO,4,F,19713
2017,Amphetamine Salt Combination,CO,4,T,0
2017,Dextroamphetamine Sulfate,CO,4,F,232
2017,Dextroamphetamine Sulfate,CO,4,T,0
2017,Lisdexamfetamine Dimesylate,CO,4,F,9490
2017,Lisdexamfetamine Dimesylate,CO,4,T,0
2017,Methamphetamine Hydrochloride,CO,4,F,22
2017,Amphetamine,FL,1,T,0
2017,Amphetamine Salt Combination,FL,1,F,58471
2017,Amphetamine Salt Combination,FL,1,T,0
2017,Dextroamphetamine Sulfate,FL,1,F,655
2017,Dextroamphetamine Sulfate,FL,1,T,0
2017,Lisdexamfetamine Dimesylate,FL,1,F,61452
2017,Amphetamine,FL,2,F,55
2017,Amphetamine,FL,2,T,0
2017,Amphetamine Salt Combination,FL,2,F,67767
2017,Amphetamine Salt Combination,FL,2,T,0
2017,Dextroamphetamine Sulfate,FL,2,F,784
